,papel,nome_comercial
329,DEXP4,DEXXOS PAR
330,DFVA3,D F VASCONCELLOS S/A O.M.A.P.
331,DFVA4,D F VASCONCELLOS S/A O.M.A.P.
332,DHBI3,DHB
333,DHBI4,DHB
334,DIRR3,Direcional Engenharia
335,DJON4,DIJON S/A
336,DMMO3,DOMMO
337,DMVF3,D1000VFARMA
338,DOCA3,DOCAS S.A.
339,DOCA4,DOCAS S.A.
340,DOHL3,DOHLER
341,DOHL4,DOHLER
342,DOTZ3,DOTZ SA
343,DPPI3,IPIRANGA DISTRIBUIDORA
344,DPPI4,IPIRANGA DISTRIBUIDORA
345,DSUL3,DATASUL
346,DTCY3,DTCOM
347,DTEX3,DEXCO
348,DUFB11,DUFRY SOUTH AMERICA LTD.
349,DUQE3,METALURGICA DUQUE SA
350,DUQE4,METALURGICA DUQUE SA
351,DURA3,DURATEX
352,DURA4,DURATEX
353,DXCO3,DEXCO
354,DXTG4,DIXIE TOGA
355,EALT3,ELECTRO AÇO ALTONA S/A
356,EALT4,ELECTRO AÇO ALTONA S/A
357,EBCO3,EMBRACO
358,EBCO4,EMBRACO
359,EBEN4,BANDEIRANTE
360,EBTP3,EMBRATEL PARTICIPAÇÕES SA
361,EBTP4,EMBRATEL PARTICIPAÇÕES SA
362,ECIS3,ECISA
363,ECIS4,ECISA
364,ECOR3,ECORODOVIAS
365,ECPR3,ENCORPAR
366,ECPR4,ENCORPAR
367,EEEL3,CEEE
368,EEEL4,CEEE
369,EGIE3, ENGIE BRASIL
370,EKTR3,ELEKTRO ELETRICIDADE E SERVIÇOS S.A.
371,EKTR4,ELEKTRO ELETRICIDADE E SERVIÇOS S.A.
372,ELCA3,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.
373,ELCA4,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.
374,ELEK3,ELEKEIROZ S/A
375,ELEK4,ELEKEIROZ S/A
376,ELET3,ELETROBRÁS
377,ELET5,ELETROBRÁS
378,ELET6,ELETROBRÁS
379,ELEV3, ELEVA 
